###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59475.525600  20.039  1.316    35   46 o  0   0.97  44.00000  22.00000  8489.66  1153.77 2.31 1.99 -53.6 -0.460 17.96 18.19 02a59475o0671o
59485.515074  19.881  0.353    40   14 o  0   1.43  44.00000  22.00000  8636.91  1462.54 2.77 2.64 -54.2 -0.513 19.22 20.48 01a59485o0664o
59485.526070  21.044  1.182    14   16 o  0   0.93  44.00000  22.00000  8615.55  1422.68 2.77 2.66 -48.8 -0.503 19.22 20.47 01a59485o0686o
59485.529332  20.673  0.777    20   15 o  0   1.00  44.00000  22.00000  8675.52  1500.61 2.72 2.58 -49.3 -0.516 19.25 20.46 01a59485o0693o
59485.533565  20.772  1.050    18   19 o  0   0.69  44.00000  22.00000  8694.51  1383.76 2.76 2.62 -51.4 -0.514 19.23 20.44 01a59485o0702o
59487.527856  22.335  2.632     4   11 o  0   1.02  44.00000  22.00000  3565.93  7038.75 2.40 1.90  39.5 -0.413 19.46 20.59 02a59487o0713o
59487.532003  22.072  2.327     5   12 o  0   1.02  44.00000  22.00000  3546.59  7001.08 2.42 1.88  39.6 -0.412 19.48 20.60 02a59487o0720o
59487.538335 -22.801  3.960    -3   11 o  0   1.19  44.00000  22.00000  3603.41  7080.07 2.43 1.87  41.8 -0.414 19.52 20.62 02a59487o0732o
59487.569228 -20.938  0.800   -15   12 o  0   1.05  44.00000  22.00000  3618.56  6964.12 2.39 1.95  40.8 -0.414 19.47 20.56 02a59487o0795o
59489.589119  21.699  1.634     8   12 o  0   1.22  44.00000  22.00000  2760.66  3267.33 2.86 2.67 -45.2 -0.480 19.24 20.66 01a59489o0487o
59489.594244  21.737  2.211     7   16 o  0   0.91  44.00000  22.00000  2781.88  3305.11 2.81 2.62 -43.8 -0.486 19.18 20.51 01a59489o0498o
59489.597474  21.621  1.721     8   14 o  0   1.00  44.00000  22.00000  2723.43  3227.91 2.82 2.65 -42.5 -0.483 19.17 20.54 01a59489o0505o
59489.611197  19.608  0.539    52   28 o  0   0.90  44.00000  22.00000  2711.05  3342.86 2.87 2.67 -44.1 -0.478 18.46 19.66 01a59489o0534o
59491.491230 -22.746  3.310    -3   10 o  0   1.43  44.00000  22.00000  3713.23  7002.92 2.29 1.77  39.5 -0.426 19.58 20.66 02a59491o0633o
59491.493074  20.416  0.458    25   11 o  0   1.07  44.00000  22.00000  3732.90  7038.24 2.27 1.77  37.1 -0.424 19.56 20.68 02a59491o0637o
59491.495820  24.887 28.000     0   11 o  0   1.07  44.00000  22.00000  3675.22  6960.87 2.31 1.79  37.9 -0.417 19.54 20.68 02a59491o0643o
59491.500939 -21.729  1.486    -7   11 o  0   1.16  44.00000  22.00000  3656.66  7077.87 2.35 1.79  34.6 -0.411 19.58 20.72 02a59491o0654o
59493.443046 -21.547  1.778    -9   16 o  0   1.25  44.00000  22.00000  7775.69  7314.92 2.66 2.57 -79.0 -0.485 19.17 20.46 01a59493o0521o
59493.446306  22.138  4.040     5   20 o  0   0.81  44.00000  22.00000  7756.63  7275.93 2.62 2.56  82.2 -0.486 19.13 20.41 01a59493o0528o
59493.451865  20.657  0.731    20   14 o  0   1.13  44.00000  22.00000  7816.22  7351.40 2.72 2.66 -87.7 -0.478 19.22 20.56 01a59493o0540o
59493.462024  20.233  0.469    29   14 o  0   0.96  44.00000  22.00000  7830.43  7233.59 2.82 2.69 -71.9 -0.470 19.33 20.73 01a59493o0561o
59497.546308 -20.627  0.684   -20   14 o  0   1.33  44.00000  22.00000   822.47  3387.54 3.11 2.80 -50.2 -0.493 19.29 20.88 01a59497o0619o
59497.549559  20.567  0.767    22   16 o  0   0.86  44.00000  22.00000   843.17  3427.23 3.12 2.84 -47.8 -0.488 19.29 20.85 01a59497o0626o
59497.556683  23.915 13.750     1   14 o  0   1.30  44.00000  22.00000   782.60  3346.08 3.01 2.87 -52.2 -0.482 19.12 20.87 01a59497o0641o
59497.567562  21.743  2.028     7   15 o  0   1.33  44.00000  22.00000   767.39  3460.65 3.03 2.69 -51.1 -0.501 19.28 20.91 01a59497o0664o
59501.423817 -20.694  0.775   -19   15 o  0   0.94  44.00000  22.00000  9704.84  7231.18 2.75 2.63 -81.6 -0.469 19.24 20.41 01a59501o0492o
59501.443615  21.459  1.444    10   14 o  0   1.01  44.00000  22.00000  9687.50  7182.45 2.82 2.64 -73.4 -0.470 19.29 20.54 01a59501o0529o
59501.445458 -20.475  0.645   -23   15 o  0   0.68  44.00000  22.00000  9746.63  7260.11 2.75 2.61 -79.0 -0.472 19.31 20.55 01a59501o0533o
59501.448502  19.795  0.303    44   13 o  0   1.09  44.00000  22.00000  9764.09  7144.53 2.84 2.70 -83.8 -0.459 19.30 20.59 01a59501o0539o
59503.532756  21.695  3.000     8   23 o  0   1.23  44.00000  22.00000  5711.80  5502.75 2.56 1.98  45.2 -0.433 18.78 19.78 02a59503o0089o
59503.557434  18.413  0.814   156  127 o  0   0.87  44.00000  22.00000  5770.41  5426.60 2.65 2.12  47.1 -0.422 16.95 18.20 02a59503o0096o
59505.413372 -22.688 10.222    -3   31 o  0   0.91  44.00000  22.00000  1582.59  5298.17 2.77 2.46 -46.0 -0.524 18.69 19.47 01a59505o0489o
59505.415678 -20.224  0.923   -30   27 o  0   1.01  44.00000  22.00000  1562.72  5259.74 2.66 2.45 -43.6 -0.524 18.73 19.49 01a59505o0494o
59505.418442 -20.449  1.199   -24   29 o  0   0.84  44.00000  22.00000  1622.03  5336.10 2.73 2.43 -46.0 -0.526 18.75 19.50 01a59505o0500o
59505.423505 -19.966  0.580   -38   22 o  0   1.25  44.00000  22.00000  1640.98  5219.75 2.72 2.43 -46.9 -0.523 18.79 19.53 01a59505o0511o
59513.491992  23.208  9.000     2   17 o  0   1.31  44.00000  22.00000 10332.06   826.97 2.78 2.47 -55.7 -0.517 19.17 20.23 01a59513o0665o
59513.495216 -20.409  0.807   -25   20 o  0   0.88  44.00000  22.00000 10353.73   866.49 2.70 2.44 -56.4 -0.528 19.13 20.23 01a59513o0672o
59513.497979  21.468  2.106     9   20 o  0   1.22  44.00000  22.00000   462.49  1054.63 2.72 2.49 -42.9 -0.633 19.10 20.16 01a59513o0678o
59513.500743  21.742  2.750     7   20 o  0   0.99  44.00000  22.00000 10294.40   790.94 2.67 2.43 -54.9 -0.531 19.18 20.22 01a59513o0684o
59513.501204 -21.914  3.581    -6   22 o  0   1.04  44.00000  22.00000   483.84  1094.36 2.78 2.59 -49.4 -0.625 19.13 20.16 01a59513o0685o
59513.510771 -22.084  3.586    -5   19 o  0   0.99  44.00000  22.00000 10278.99   908.25 2.73 2.43 -54.7 -0.523 19.15 20.18 01a59513o0705o
59513.516028  20.198  0.775    30   23 o  0   0.82  44.00000  22.00000   425.35  1013.42 2.73 2.53 -53.7 -0.644 19.14 20.18 01a59513o0716o
59513.521131 -23.449 15.625    -2   24 o  0   0.91  44.00000  22.00000   410.70  1133.09 2.69 2.49 -45.6 -0.638 19.12 20.10 01a59513o0727o
59515.460727 -21.609  1.493    -8   12 o  0   1.18  44.00000  22.00000  5806.32  7436.06 2.42 2.01  42.0 -0.428 19.43 20.58 02a59515o0598o
59515.463936 -22.006  2.096    -6   12 o  0   1.04  44.00000  22.00000  5787.13  7396.24 2.32 1.90  41.1 -0.435 19.49 20.56 02a59515o0605o
59515.471026  21.216  0.990    12   12 o  0   1.09  44.00000  22.00000  5844.15  7475.20 2.42 1.97  38.7 -0.424 19.44 20.53 02a59515o0620o
59515.481915 -23.728  9.200    -1   11 o  0   1.04  44.00000  22.00000  5866.17  7361.22 2.37 1.99  47.6 -0.432 19.44 20.52 02a59515o0643o
59517.462905 -20.074  0.369   -34   12 o  0   1.25  44.00000  22.00000 10325.01   830.17 2.77 2.49 -58.2 -0.511 19.41 21.04 01a59517o0603o
59517.464284 -21.699  2.000    -8   15 o  0   1.01  44.00000  22.00000   454.23  1057.01 2.58 2.45 -51.4 -0.626 19.48 21.03 01a59517o0606o
59517.465676  22.927  6.267     2   15 o  0   0.81  44.00000  22.00000 10346.46   868.31 2.71 2.41 -56.3 -0.526 19.49 21.03 01a59517o0609o
59517.474580  24.142 18.750     1   15 o  0   0.98  44.00000  22.00000   478.16  1094.66 2.74 2.60 -52.1 -0.625 19.44 21.00 01a59517o0627o
59517.475040 -20.225  0.483   -30   14 o  0   1.25  44.00000  22.00000 10289.26   791.47 2.82 2.52 -54.5 -0.507 19.38 20.99 01a59517o0628o
59517.478283  20.684  0.792    19   15 o  0   0.91  44.00000  22.00000   416.92  1016.54 2.67 2.51 -39.2 -0.599 19.43 20.99 01a59517o0635o
59517.485751 -22.582  5.000    -3   17 o  0   1.17  44.00000  22.00000 10273.32   911.05 2.76 2.45 -68.3 -0.524 19.29 21.01 01a59517o0651o
59517.491225 -21.364  1.588   -10   16 o  0   0.97  44.00000  22.00000   404.39  1134.60 2.75 2.59 -49.7 -0.631 19.41 20.94 01a59517o0662o
